year,km,color,price
2024,32000.0,Gray,2295000
2024,25000.0,Navy Blue,2295000
2024,23000.0,White,2115000
2024,32000.0,Black,1825000
2024,37000.0,White,2100000
2024,46100.0,White,2160000
2024,28500.0,Black,2350000
2025,6001.0,Burgundy,2550000
2024,25000.0,White,2249999
2025,14500.0,White,2305000
2024,26000.0,White,2155000
2024,68200.0,White,2100000
2024,52000.0,White,2099000
2024,31200.0,Blue,2235000
2024,6002.0,White,2500000
2024,43000.0,Navy Blue,2250000
2024,30000.0,Silver Gray,2270000
2024,55000.0,White,2195000
2024,42000.0,White,2149000
2024,26000.0,White,2250000
2024,20500.0,White,2239000
2024,21000.0,White,1920000
2024,30000.0,White,2400000
2024,23500.0,White,2150000
2025,19200.0,White,2365000
2024,19000.0,Silver Gray,2400000
2024,11500.0,White,2325000
2024,40057.0,White,2310000
2025,23000.0,Black,2200000
2024,18000.0,Red,2370000
2024,22700.0,White,2250000
2025,15000.0,White,2350000
2025,24000.0,Black,2390000
2024,29000.0,White,2185000
2025,19800.0,White,2305000
2024,16000.0,White,2250000
2024,34000.0,White,2310000
